----------------------------------------------------
Running Benchmark with GCC version: gcc (Gentoo 10.1.0-r2 p3) 10.1.0
----------------------------------------------------
Size      | Flag           | Time (ms)
----------|----------------|----------
1024      | O0             | 1256
2048      | O0             | 9998
4096      | O0             | 81969
1024      | O2-novec             | 264
2048      | O2-novec             | 2247
4096      | O2-novec             | 20618
1024      | O3-vec             | 150
2048      | O3-vec             | 1373
4096      | O3-vec             | 15911
1024      | Ofast-vec             | 148
2048      | Ofast-vec             | 1345
4096      | Ofast-vec             | 16354
