----------------------------------------------------
Running Benchmark with GCC version: gcc (GCC) 14.3.0
----------------------------------------------------
Size      | Flag           | Time (ms)
----------|----------------|----------
1024      | O0             | 1253
2048      | O0             | 10064
4096      | O0             | 82250
1024      | O2-novec             | 214
2048      | O2-novec             | 1883
4096      | O2-novec             | 18889
1024      | O3-vec             | 151
2048      | O3-vec             | 1338
4096      | O3-vec             | 15915
1024      | Ofast-vec             | 150
2048      | Ofast-vec             | 1336
4096      | Ofast-vec             | 16053
